ID,DCR,FRE,LW,MER
voa-001c6ff0-9fb7-4d23-9bf3-a26929ee52c83,10.6015,40.1977,48.9007,19.6333
voa-0022123d-c8a7-405d-af97-b6a8aa7d110e2,8.8627,49.8635,55.7143,25.3
voa-005da417-c2ad-48f4-a08c-c0800f79d33c2,8.5681,51.9294,49.4364,14.6667
voa-00860f99-097f-4349-9691-fb435e27d3c31,9.3126,39.3885,56.701,14.8
voa-00da8787-0446-440f-8e43-a5b45215773f1,8.2722,58.8378,51.6484,17.9
voa-01068267-2295-4f16-8201-0fe7fcd014eb2,9.5981,51.9157,56.6667,23.9
voa-0157644f-3933-4e00-b40a-0096acdab6842,7.972,55.814,50.3133,19.7667
voa-0169d0ba-1c6f-492b-a479-92c7da461c7a2,8.9469,47.7069,54.1364,23.0
voa-01825248-a485-493f-bad5-fda948113aa93,9.7436,52.1885,56.4211,21.7667
voa-01be69a0-d74c-464a-bce7-1e76caaecb691,7.6788,74.8752,58.0,18.1
voa-01da2cf8-aec1-4d54-9b21-bcd360f348312,8.5748,57.7518,54.7742,17.7667
voa-01dc0158-15fe-40de-916a-09a1237678eb3,7.6299,54.4916,62.4211,41.5333
voa-01ff6468-468c-4d19-bcee-77b073c9e68d1,10.572,16.4596,44.5783,15.6
voa-0253c0d2-1d1a-482f-b886-1612d38172181,8.0596,69.6777,53.0,16.5
voa-02885ad8-e051-4430-b542-aaeb4a9a5d172,7.4622,72.2802,61.2964,22.2667
voa-02889067-82e2-416a-bca2-343099f381a81,7.142,67.8983,65.0,12.9
voa-02ac096c-29b5-4187-b719-8c98e87e5aa93,9.0507,52.3496,55.7104,23.2333
voa-02fb06ba-d57f-4ab4-ace2-37b4bced855f3,9.2836,42.6766,51.408,24.4667
voa-0348227f-0217-48ce-ac9e-277f103a731a2,8.2044,51.7989,56.6211,24.2667
voa-034fa7dc-a4c6-4ad9-b619-fc95481b92b11,9.24,45.977,44.0,20.0
voa-03abe405-0ac2-47db-83b1-d59e4971313f1,8.871,53.12,52.5773,22.7
voa-045457d5-d7d8-4331-a714-64d8c345745d3,10.0996,33.0885,49.4852,23.2
voa-04764b3c-da15-44da-afca-ab3295502bcf1,7.6802,56.734,55.0,24.4
voa-0494bc20-d6bc-4a3c-80b6-7a1a673f96bf3,9.2866,39.7611,52.2813,21.3
voa-0545a338-9629-4d19-8fab-3b29d784539f3,8.1244,68.5212,62.6409,17.8
voa-06526d3c-e9e0-4b4d-b3de-113d05c64b202,8.7124,49.3366,54.8728,18.8
voa-065a2bcf-33f3-4bc4-889e-e5adf9d4e7eb3,7.9811,66.7071,60.0978,15.9333
voa-06756f69-21cf-4579-b171-fb7776bbbf993,8.0041,57.8732,57.185,21.1333
voa-06838ce8-ca68-4363-af62-db0e3a9c69983,8.9718,53.61,57.8728,25.6
voa-06b5ff95-3ddd-4cdc-bd6e-0b12f60999ec2,10.331,33.0909,40.2778,23.8
voa-072edbdb-92fb-45b6-8d96-c88df61275893,8.7712,59.9289,61.6667,21.4
voa-07c12bb4-ab7b-40c4-be91-6ae0997228c11,7.0724,67.6905,60.0,17.1
voa-07ee7827-2277-4e4e-b1de-8c68fcccb9932,9.8067,42.2128,45.0,21.9
voa-0814e0f8-c383-436b-8f44-d2178873a2933,9.157,53.9046,56.3243,22.0667
voa-081eb797-05fd-49ae-9baa-38d28ec938a03,7.1324,74.0782,65.4278,20.0
voa-08207996-7ed4-4d13-8ea1-39e81a2df3673,9.7767,49.3864,62.3728,24.9333
voa-084ec6ec-6b81-45eb-8bfd-1838f9ba58143,8.637,53.3284,58.244,25.1
voa-08fcae98-6e95-492f-bda5-fda2f256c7f33,9.4711,35.3435,48.0,20.4667
voa-08fdabab-157a-4e41-8fb6-4c86919051621,9.3541,47.2926,44.0,16.8
voa-09a89fd7-4ddc-422d-b875-951b088cf3522,8.5665,59.5854,56.6599,21.9667
voa-0a0a661b-cbc7-4e30-9493-d1723148128c2,9.6174,57.208,54.6111,24.4667
voa-0a5c9d27-e7ad-4f28-82b6-be4a5a49a66e1,8.7804,60.4574,49.0,24.7
voa-0a6acc8d-d71f-4c20-b767-2c58e51814401,8.0173,56.7204,49.0,19.6
voa-0a7e3c05-6e5e-4c4e-a625-0064452f5c9e1,7.1776,67.4725,55.0,18.1
voa-0aa049e2-6943-41af-925f-56e675d67db31,7.9939,51.8813,49.3827,14.7
voa-0ad6b0e8-9104-48d7-8b89-29e8939208f63,9.5791,52.7303,54.1245,23.8333
voa-0b11d8c8-95dd-44d7-abe4-6bf5f3986b333,8.1421,54.1488,56.9302,23.6
voa-0b4dc213-be41-4137-87d3-0e9f7b8e44383,8.8512,49.7295,51.2352,20.4
voa-0b53f3b4-53e6-4e10-a37c-f40d638fb50b3,8.8047,50.3039,54.5074,19.0
voa-0b67f3c8-453e-422f-aa4f-9754a8a994573,9.2236,37.5352,48.3653,21.9333
voa-0b79ecf3-7c49-4297-bfa9-1f9a2c928d1f2,9.2124,49.1211,50.9425,24.5667
voa-0bc63f49-9a70-4ca7-8bba-1d5a1c2be4821,9.5459,45.0608,55.914,20.0
voa-0bdbab14-fdd9-49cd-a8de-2d8e123bc6a53,9.4048,42.722,52.3333,23.0333
voa-0c00ec41-127c-42a5-b86f-a4c3df9897161,8.5686,47.7903,57.0,22.2
voa-0c1f2167-b7b6-4654-a34c-ee77fafe70661,8.5664,43.1409,51.6854,17.6
voa-0c1f6f63-3615-4679-aa0f-742cea54cad33,8.7944,53.7528,56.0,20.3333
voa-0c35eed7-a115-4e58-b7c8-1a3ccb3b12e21,9.7299,49.3,54.878,14.7
voa-0c9c4c3f-8dae-45e2-91cb-1cf5ff31fcf82,9.4199,47.9868,48.4536,19.8333
voa-0d50c51b-bdc5-4401-8aca-ac915aeb660b1,8.8498,45.8211,51.6854,19.7
voa-0d81c141-7797-456f-a07e-f7c340eb72221,9.296,43.4516,51.5789,18.7
voa-0d9a37fa-8ed0-4b3c-a8ca-d77ea83c73cf1,9.7608,37.8073,45.0,19.7
voa-0e6d2147-2060-447c-9f7f-14fe6e30d9373,8.4466,60.4645,59.637,23.1
voa-0e80ceca-7e33-4c66-9105-1b20ed7125d82,9.1947,55.5801,54.1552,21.1333
voa-0f515c3a-a7f1-405f-b69d-74c921e2967e2,8.5163,68.3179,58.0609,17.2
voa-0fef1c76-dda5-4bf0-9ca8-818da08115e31,10.0526,37.3,51.7647,24.2
voa-1092d224-c9c7-4fcb-8af3-974490e6086c3,10.0196,50.8423,52.1608,18.6
voa-109b9e54-d09a-442f-bebe-6c80524577762,9.4064,51.7834,50.8064,22.9667
voa-114c0322-2ba1-4df3-b671-0fec64c59b202,8.0331,53.7843,55.0355,18.3667
voa-11743e18-4b9d-4feb-ab0c-1009c2a54a9d3,8.2253,62.5783,59.3162,23.6333
voa-11905aa0-c00b-4a47-8199-2e9d747ba60e3,8.4015,58.3585,57.503,20.7667
voa-11b7c083-3a57-4502-9e0c-750ad56020da2,7.8029,72.0723,57.3657,16.4333
voa-11e59dd5-2b42-494b-a707-270eb5ab9ebb3,8.8876,50.0755,53.5,21.2667
voa-11f5949f-5642-4612-b2a9-11d01eb704a81,8.7539,47.6797,47.6744,19.5
voa-12286a3c-dac2-446c-a100-2dea5cc5279f2,9.7421,42.695,52.3879,24.0
voa-1274a740-3242-42ae-b3d7-61245bc8ccff3,9.3014,46.3327,54.6921,20.1
voa-1294cb48-162f-4ba1-bf8b-c15e59d216d92,8.5505,56.1989,58.5169,23.6667
voa-12ac4ab0-6d5f-4a23-8dfe-03b41192d6b31,8.4052,59.1163,56.6667,15.1
voa-12b38737-08c7-4910-941f-7ab306f91a0f2,8.7417,54.1652,54.0758,20.7667
voa-12cbc8ba-2f52-4c19-8733-ef653cc6db862,8.6833,67.7027,64.2104,20.2667
voa-13751b81-b2c7-4922-9a1d-f7f8810670b91,8.8818,48.8628,51.5152,18.4
voa-13885571-82dc-41d9-96d7-b943770c24492,8.1938,54.342,52.6316,21.9667
voa-139b5197-0073-47f1-bd37-35288e94d5232,7.9781,54.6919,51.1111,18.0
voa-13a474a5-98ce-4801-b20e-69357a8b93cb1,7.6339,74.62,58.3333,19.4
voa-1473c555-8511-4229-9e8e-3c1dfca8fe8d1,8.3118,49.2696,59.0,13.4
voa-1496f708-5417-4732-8fa7-1e25744dc34a2,9.2411,52.7797,55.3239,24.2667
voa-1519f2b0-e369-4d69-991e-a4908ba3a2893,7.7168,60.3526,61.8018,27.4667
voa-1531f176-4397-4941-8575-ecf30d67eee13,9.5513,48.2539,52.6974,23.2333
voa-154b3e31-a0d4-4853-ae86-3f2e5bf3b9d22,8.83,51.9423,51.3129,18.4667
voa-15a18f51-da36-4a4b-a123-6cf361ab73962,9.0657,53.3425,52.5088,25.3333
voa-15be4ded-a738-4ed7-963f-6790c9184fac2,7.108,65.6986,58.3166,23.8333
voa-15e0b891-7bbd-4b42-9093-8c2b9ee9547d1,8.3254,49.7709,53.0,20.0
voa-15f2f188-8caa-49f3-a727-3b567d7d4a533,10.1809,53.6844,52.8547,22.0333
voa-16031afb-9b1b-4d62-ac16-87388f71e0a63,9.3295,50.6789,49.7618,19.3333
voa-164e6ce4-de02-44b8-abef-cb342222db4e2,9.1761,59.8479,53.7176,24.0667
voa-16966feb-cfe9-4102-99ef-e114b826e22d1,9.1264,52.9609,48.0,14.9
voa-16b5a863-2ab4-4886-a7e2-5334926a58001,7.0994,50.3969,48.9362,16.4
voa-16f70df0-763d-4661-9055-4399ef681b3d1,7.8948,60.8416,56.0,19.5
voa-17134f42-09d4-4508-8992-fab2516d3ed93,8.0483,53.9617,58.4583,20.3667
voa-171d44fc-27af-4bec-a108-f72de2d345202,10.1961,26.6861,42.6811,19.9
voa-175a24e6-4daa-4569-8f43-cfd2324fbc8e1,7.7478,52.0877,56.5217,14.6
voa-17879f81-d369-4f5d-bd51-1a48d82c94221,8.6582,50.1946,52.0,18.4
voa-17d58961-befc-4de2-a5f9-730e2746d3933,7.338,61.0559,57.9948,21.1333
voa-17e438db-ef2a-4ba8-95c4-c873018f195f3,7.7586,61.7416,59.6129,20.6333
voa-184182c6-f43b-41b5-8d65-87dc2b70dc761,7.7127,58.1651,52.0,16.4
voa-1855342b-1145-42ec-b4ba-df905b9fe3af1,7.084,62.3158,62.0,19.4
voa-18646a49-033a-4c54-8355-eed5459888aa2,10.0236,59.9219,63.8651,21.8333
voa-1882e80a-02a0-4322-912c-85b7415eee682,8.088,62.9246,57.7844,20.4333
voa-18fbe2b1-3614-45a9-83f7-34ced26f5c351,9.296,46.1232,48.4536,18.4
voa-1925c032-6d5a-4bd4-a6d8-9ef3ad0554d92,9.3569,54.8087,49.4552,18.7
voa-19cebd96-c39e-438c-96d3-87c70b1e63331,7.1399,62.6258,61.0,15.7
voa-19d5d56e-3a07-4727-bf25-de40e91053743,10.2306,42.1962,52.5182,20.9667
voa-1b384fcd-c926-479f-b2f8-8c54acab33323,8.5939,51.3105,59.1156,28.1667
voa-1b3e8d5d-0f30-4f67-aa24-8221986a0be72,7.4545,64.9978,57.5152,18.4
voa-1b4224d9-9813-4cbd-bf79-be63f0d849ca2,6.9638,64.4035,60.5167,17.6667
voa-1b6ea297-899d-4e7c-a73c-d73c5650f2403,10.2339,35.1028,48.9679,25.4333
voa-1b7adede-ebbd-4cf4-a8a3-0e1cea9b52732,8.4941,71.1711,61.1053,16.4333
voa-1ba0394c-8171-446e-b489-c34d6b6727053,8.5829,58.0938,60.5426,20.8333
voa-1bdd1a6f-f8af-487a-ac0b-090f5234e3c61,8.719,46.2463,59.1837,19.0
voa-1c0a0df2-a6ef-4c75-a7e6-232840a2cc583,7.6211,59.8938,57.0388,21.6333
voa-1c2c3f9c-c0ac-4bbd-98c8-0db65d0fb6db1,7.9744,56.8238,51.0,22.9
voa-1c63fe74-7ce2-4085-a74a-0e23a29473f32,7.8435,68.9168,62.2063,20.5667
voa-1c6e0b85-fed1-47ab-8101-4159588a781b3,9.1337,50.3521,54.8938,21.2667
voa-1cd0ce76-3322-4541-8d68-0b2fa2c9bd883,8.5058,48.7566,53.2162,20.9333
voa-1cdc931c-e023-487e-a6d3-681c6006e2ce3,9.2169,57.4997,57.749,25.6667
voa-1d4de85a-0e42-4166-81bb-93befb1e59662,9.8649,46.9915,46.0922,22.3333
voa-1d591681-3732-4c00-aef7-99a59df276271,7.6529,67.05,52.0,16.3
voa-1d8864cf-92aa-4327-8765-6f5e8f701a9c1,7.6858,60.705,55.2083,16.5
voa-1da68087-5993-4c67-b302-f85d57286f823,9.2206,57.6428,57.1014,19.2
voa-1dcb913c-d6e2-43f5-a07b-486bdd91664c3,7.8568,59.9708,54.6749,17.8
voa-1dd56e5f-3bb6-45b3-a333-72b18fbca2ab3,9.4861,47.418,52.9711,22.6
voa-1e1e8c01-7379-4670-93de-1f85e767e5272,7.6858,64.9156,55.6491,16.6333
voa-1e9dfdf8-e946-4874-b983-44ea22ab261e1,7.435,59.8442,57.0,16.9
voa-1eaee3fe-2a53-4b5d-b90e-c539f17ae4dc1,8.2005,45.9823,53.1915,17.9
voa-1ebd7c81-6e87-48ed-be89-8e2fbcf26ba13,8.9689,51.8077,52.3799,22.9
voa-1ed0ec09-f3ec-490a-9be4-fce8679a3f042,8.6167,61.4388,66.0,20.8
voa-1eda00e2-9b69-47e7-aba8-f2eaa4c6c7f12,10.1434,45.5387,49.0635,23.3333
voa-1f10abe5-6582-4f8a-8f00-8e0cf676242e2,8.2876,70.2193,58.0,19.2
voa-1fb8915a-d428-4595-ac1b-1ea7ccc635b43,8.3949,59.3597,59.3194,21.5667
voa-1fe3dde1-9ea7-41f5-bad3-f4ade25180d43,9.985,31.7961,50.6119,28.6333
voa-205c8db8-d83a-4f3b-b7b9-be1822cf4bc73,9.5857,45.3035,54.5969,23.2333
voa-207ad1a1-b062-4ca4-9964-eea08c0aeba22,9.6267,40.8706,48.9574,22.7
voa-212e84bd-2735-4798-b29c-fbf6dbb010002,8.737,64.1459,58.9298,18.0
voa-21df68b1-d9fc-48f4-924d-0ff6d93a02e22,8.7504,62.0182,58.2437,20.1
voa-2210c9a2-a818-45b6-bba6-85f0f9ba5b8a1,9.0787,49.0761,43.5294,18.5
voa-224b1128-bf90-441a-bd23-a4466ca318d43,7.8695,67.1341,68.3275,22.3667
voa-22828cdd-aca7-4676-947e-9793349358261,8.9662,51.4004,59.7826,18.0
voa-22978ae0-02cb-4529-832c-745c1cf6fc2c2,8.7043,53.9499,52.0055,22.5333
voa-232641dd-f379-4fcd-a94b-d7116cb4dbe51,8.1661,68.8041,57.0,19.0
voa-23b4daf8-2725-432f-865c-f7de02b88f9d3,10.3271,34.3512,49.1215,18.4667
voa-23db8ab0-163e-46b3-98b5-86ad8bb137df2,8.0399,62.6372,51.0,18.4
voa-24193371-7c91-47a9-b718-85abc0f8503f1,6.4213,70.563,62.0,17.3
voa-24579149-323c-4c06-b0cd-fb488cd90fc52,7.7992,56.477,60.0536,25.2333
voa-249bbd68-29c4-4070-a381-292d59f515973,10.2063,33.0173,45.6454,21.2333
voa-24d6feed-2185-48c0-ae6c-6bb0d150d3de2,8.3878,56.2986,52.2799,18.0
voa-2563c0c8-2cd1-443a-9b9d-6bee8f251af93,8.6618,56.5562,60.3188,21.9
voa-260a8eca-2c1e-484e-b2d6-8bc95c72d36f1,9.8585,42.7576,48.9796,19.7
voa-269241aa-3763-4916-96cf-d68c71a1d7311,8.19,67.0869,55.0,16.0
voa-26a24191-a23e-49ec-a79a-69d8f30fc89c1,9.4061,51.3643,64.7059,23.2
voa-26bb9d79-2d41-4f21-823d-a024c417bc1c3,8.0459,62.6228,58.3255,21.4333
voa-26e2dcd0-3465-49e7-b470-89f739a843043,8.2877,60.6758,61.3456,21.8333
voa-2711b647-c3af-4029-8705-21b242fde5a61,9.0681,52.7503,50.0,15.2
voa-2753932d-a697-42ab-b753-20c5e286e36b1,8.6192,48.6114,51.6484,17.9
voa-2864038e-8d69-4478-a736-0303777ebef32,8.0588,62.3798,60.0768,18.4333
voa-28e60226-a2c3-4136-a4ed-fb241f83858d2,10.2738,39.2498,44.3469,20.5333
voa-291361e8-8045-4cc8-bc66-dba6f3c2b3191,8.0307,65.9952,57.4468,18.4
voa-29382720-65b4-4af8-b728-dc594075bfa61,8.5301,54.0347,52.2727,18.2
voa-29a31452-0b29-479e-9152-16b9933deff81,8.2508,63.5088,61.4583,16.5
voa-2a3e42a2-e6dc-4e38-ba5e-31382e2c15431,6.5037,69.5509,56.0,15.9
voa-2a56527e-67d0-48fc-9d9e-44f37cbd4ced3,8.835,52.3891,58.1145,23.8333
voa-2aabcc95-c622-4734-a734-d825e73175401,9.1671,49.9475,47.5,21.6
voa-2b13f7c9-8bf8-477d-ad69-46c3f80fdfd22,9.2669,42.2749,45.932,22.8667
voa-2b581f13-125e-4f84-ab6b-027f38ffdcd03,9.3475,47.0642,52.6472,23.9333
voa-2ba7b067-3262-4a5e-ac96-edbc33fe9d013,7.3114,73.0921,65.0403,16.7333
voa-2bb6baf2-0817-466f-84ef-9bf3d0443ce73,7.6679,56.4533,60.7354,20.1667
voa-2bd7b858-fe6a-47a4-9bcb-ab842b73e6673,8.1528,57.5294,56.1599,24.2667
voa-2df58681-c092-4834-8c85-a9d1037099733,8.7063,50.5956,52.2691,18.7667
voa-2e7e535a-2e09-47ea-93ba-97c2709891762,9.2156,51.1694,54.6121,23.0333
voa-2ec8a35d-7120-4a9b-afbd-01d9603cd97c1,9.3541,47.2926,53.0,16.9
voa-2ef4dab0-fc07-4781-aa45-5d5d82d5116e1,8.4025,51.4983,52.0,21.6
voa-2f742f56-b2fd-4078-89da-a497a0d305ff2,9.9422,47.5092,51.5221,20.3667
voa-2fd93f25-b5db-43ab-bb2b-fefb497e47851,9.5446,45.0477,53.8462,18.0
voa-301175ec-cef4-490e-a883-14589e2fb6842,6.954,74.6265,59.9775,13.3333
voa-30b8b8f3-afc3-4df3-a1da-94e7059464141,7.3334,63.8221,60.0,17.2
voa-310bdc78-24b0-4717-b2e1-d6174c23d5aa3,8.4802,58.4193,54.0672,20.1333
voa-3164ebe4-e211-4304-a3c8-b2ddea08fb882,8.7415,44.6819,49.6492,24.2667
voa-31d90878-eb47-4f90-a338-eb3c717fb9791,7.7889,61.4246,59.0,14.9
voa-31eceaa3-4951-48de-801b-5c67fae520ef1,8.5114,64.1265,58.1395,16.6
voa-320e9280-fcb5-4c46-9c68-a6fc4137438b1,7.8191,68.0642,54.6392,17.8
voa-32612835-5d65-48d0-a83a-13c50beb95b82,9.3363,40.8571,50.1582,24.4667
voa-326efa3f-6eb4-44ea-88e0-c36a148ca2613,8.6204,50.6132,53.8196,25.0333
voa-328566b5-b92d-4e09-9e79-9e3d45afd3172,8.6257,54.5593,51.8324,14.5667
voa-32ce4d57-2782-4e44-a377-5968dee0413c1,8.3275,59.1632,57.0,17.6
voa-32d9d761-5d97-4326-859a-af6c9f53313c2,8.6868,53.5231,48.162,16.5333
voa-338ea1af-195c-4299-8683-c84726a27c243,8.7229,58.7002,58.817,22.5667
voa-339094a6-0b61-4481-81c5-35ad0aa0b17f1,7.3005,59.3391,49.0,20.1
voa-33d46c56-cc5c-4db5-ae9d-37932aac3a391,9.7416,49.0434,45.2381,15.3
voa-33ff4d29-8896-4db5-8350-0a0f5c25d6393,6.6604,74.5687,71.3333,18.6
voa-34189531-e603-4919-8aaf-58b479df21a92,9.7493,50.43,54.7312,19.8667
voa-34402211-0341-4e93-abe6-2789cba221ff1,7.8966,62.9874,60.0,18.5
voa-34569e48-5d88-4c53-8dab-a46e895856721,7.5481,63.7761,56.0,14.2
voa-3471f420-289e-4f26-a6c2-7364792207fd1,7.2572,69.8367,62.0,16.6
voa-34ae8502-5302-48e1-ba52-4a5622335f231,8.3378,63.6715,54.0,18.9
voa-351080bd-4dcb-4055-819c-8c44cf07f1553,8.0471,60.1283,51.5116,16.4
voa-351d2b6d-d1c0-4be5-a6c8-17461d462b531,8.2235,55.1611,49.0,15.0
voa-35375458-065f-4323-8f7d-72ffa36eadf41,8.1916,69.6433,54.0,18.4
voa-3580d6ff-968a-4481-9da3-f691731cf32b2,9.6287,48.4476,58.7699,23.5
voa-3596e4b4-f237-48ad-ac36-e959d611dcba1,8.6603,63.125,52.2222,18.0
voa-35c9fd1a-bd31-480e-b68b-bbb1c1cdf4c12,9.0519,50.2666,46.0,19.0
voa-35d9bb5e-1eb7-4134-9a58-e76a589febeb2,9.4762,55.2158,53.7167,20.6
voa-3696b945-a315-4753-b8fa-25ea44e16f521,7.6811,76.8063,59.0,14.7
voa-37296754-3292-4a1a-b293-6f0be869769f3,8.7426,57.614,59.1354,26.3667
voa-374f03dd-ec43-4a96-9bf3-cb5087965a9a3,8.0326,59.5969,59.6444,24.2333
voa-37630778-8aed-4b5d-a262-7e0e1702ee752,7.5366,69.4463,63.5803,19.0333
voa-376eb1d9-772a-4421-b938-9fe619d2dd301,7.324,60.4872,56.044,15.1
voa-37cb3a98-1e8d-4217-a365-700c14cfebd12,8.9065,54.4701,57.8788,22.3
voa-3848c644-59e3-4a9e-977d-77a80108b0bb1,8.0064,64.2982,53.5354,19.1
voa-38d420ba-bb95-4bca-9d1a-8216b9c95a933,8.8721,55.8249,60.3327,22.2667
voa-3916c3b9-07cf-46a7-913c-9b5a8cb210cd3,8.9218,54.0058,55.6692,18.7333
voa-39c900ea-c07f-44aa-9c38-434893b5a8b42,8.2396,58.1676,58.6667,18.6333
voa-3a12bda3-325b-4c51-b6eb-96f3fcc85dbf3,9.9787,45.1916,51.4819,23.5667
voa-3a3e3bec-83d5-4f41-84a5-414b4bf254052,8.3659,67.2284,59.3586,22.7667
voa-3a92239a-3a6c-4e4d-9f27-1e1589f6d9473,9.021,64.0301,61.3614,17.7333
voa-3a9df66f-98fe-4933-88a4-96dad679fb7c3,8.1998,63.0363,59.3539,19.8333
voa-3ac47ead-dba7-440a-88af-89494810a8c33,9.6781,48.9401,54.9613,22.4667
voa-3b6c3615-37c5-48d9-8a6a-88097b90fb772,7.8197,62.2565,57.0,19.9
voa-3bd1b65c-aac9-4642-b9ad-dede30091bf13,9.4037,48.8403,54.6803,24.5667
voa-3bdb88d9-98ae-44c3-ba05-c6ab38d7f4813,9.4497,39.95,49.5046,19.7
voa-3c1995d2-def1-4693-83b9-0c303e70ef2a3,9.4693,40.0708,45.5397,22.6333
voa-3c4fd78a-adcb-47f4-8cce-a652149b489e3,9.4984,53.5672,59.7368,22.5
voa-3d304d0d-b632-4c8e-b7fa-120a6af03fa01,8.729,40.6502,47.9592,14.9
voa-3d3188b0-1ea6-4c13-b9a8-897a65c68eb91,7.0879,74.4536,62.0,19.3
voa-3ddeec3b-5e32-4ede-ac52-14e485b8f8f41,8.4769,62.1173,53.0,14.3
voa-3e758059-1acb-4494-9cfe-991988e828be1,7.7407,61.4135,53.0,22.1
voa-3eac936f-d360-4ad3-8543-df0c02e07cf73,7.3865,59.8713,59.8451,26.0
voa-3f7959c6-a4fb-413e-98f9-1cb47c0799121,8.5932,44.865,50.5155,19.0
voa-3f7c5014-14ab-4a69-bfe2-12e9f566442e3,9.6426,57.3364,57.801,22.2333
voa-402dfa62-2246-40e2-bc61-618a1557e1b62,8.9321,49.4753,49.6969,20.6667
voa-403180c7-2fb3-4a60-8812-a34d61d73c782,8.2845,57.0392,54.2249,20.1
voa-40bb27ee-3c77-4fb7-9720-7272d3e3b5021,7.9333,64.71,54.0,20.3
voa-418c9b02-e0a7-4c09-9cd0-b3107bc6cc261,8.5552,42.5764,47.0588,16.9
voa-41c23879-3cc4-4137-a0ab-db6f67ecea272,8.2053,64.5304,59.1746,17.6333
voa-421a3498-00c5-4be7-b845-fd1c3f1497563,9.6912,47.4244,51.7663,22.4
voa-421e1afb-63d2-412b-bd3b-db0e357f87f32,9.1426,53.4457,53.0278,18.5333
voa-4241136d-2149-4b0f-8660-49961c8a075e3,9.0844,62.7515,49.5303,19.0
voa-4244c9fd-2ad7-40c0-a789-11e3f9404eb31,9.1807,48.3863,60.0,17.5
voa-4244de3f-fbbc-47b4-834f-2b2158c7cb063,8.5077,58.3469,54.9848,20.4
voa-427c3343-16db-4c6e-8a17-d992d7f3dddc1,9.3868,45.8231,50.0,16.3
voa-42b54578-a6ed-4b91-ab16-8c17ad8498863,9.5372,44.1618,52.4165,25.8
voa-42c3f9cc-811f-4fa0-89b5-7e2d6c1e46591,8.9785,59.6128,55.0562,14.6
