"corpus","preloaded/sibol_corpus"
"Monday-n","nouns modified by ""%w""","night-n",7607,7.53742,9.578
"rural-j","nouns modified by ""%w""","area-n",7591,7.52157,9.812
"security-n","nouns modified by ""%w""","guard-n",7555,7.48590,10.815
"TV-n","nouns modified by ""%w""","show-n",7532,7.46311,9.951
"estate-n","nouns modified by ""%w""","agent-n",7530,7.46112,11.658
"related-j","nouns modified by ""%w""","post-n",7528,7.45914,11.731
"Barack-n","nouns modified by ""%w""","Obama-n",7522,7.45320,12.024
"last-j","nouns modified by ""%w""","November-n",7509,7.44032,7.842
"armed-j","nouns modified by ""%w""","force-n",7499,7.43041,10.581
"second-j","nouns modified by ""%w""","quarter-n",7493,7.42446,9.351
"Soviet-n","nouns modified by ""%w""","Union-n",7485,7.41654,11.855
"other-j","nouns modified by ""%w""","end-n",7485,7.41654,8.142
"Covid-19-n","nouns modified by ""%w""","vaccine-n",7483,7.41455,11.226
"former-j","nouns modified by ""%w""","chairman-n",7483,7.41455,9.124
"spending-n","nouns modified by ""%w""","cut-n",7470,7.40167,11.079
"football-n","nouns modified by ""%w""","club-n",7463,7.39474,10.208
"high-j","nouns modified by ""%w""","number-n",7461,7.39276,8.765
"swimming-n","nouns modified by ""%w""","pool-n",7440,7.37195,12.397
"final-j","nouns modified by ""%w""","day-n",7436,7.36798,8.962
"former-j","nouns modified by ""%w""","director-n",7423,7.35510,8.801
"announce-v","pronominal subjects of ""%w""","it-d",7423,7.35510,5.461
"Labour-n","nouns modified by ""%w""","leader-n",7377,7.30952,9.600
"new-j","nouns modified by ""%w""","deal-n",7369,7.30160,7.644
"US-n","nouns modified by ""%w""","Open-n",7364,7.29664,10.024
"Stamford-n","nouns modified by ""%w""","Bridge-n",7357,7.28971,12.683
"British-j","nouns modified by ""%w""","government-n",7350,7.28277,8.735
"Super-n","nouns modified by ""%w""","League-n",7324,7.25701,10.544
"Prince-n","nouns modified by ""%w""","Harry-n",7321,7.25404,12.075
"Web-n","nouns modified by ""%w""","site-n",7315,7.24809,10.955
"past-j","nouns modified by ""%w""","month-n",7312,7.24512,9.233
"second-j","nouns modified by ""%w""","place-n",7303,7.23620,8.926
"public-j","nouns modified by ""%w""","transport-n",7291,7.22431,9.541
"election-n","nouns modified by ""%w""","campaign-n",7268,7.20152,10.530
"middle-j","nouns modified by ""%w""","class-n",7255,7.18864,11.365
"other-j","nouns modified by ""%w""","company-n",7250,7.18369,7.659
"Mr-n","nouns modified by ""%w""","Clarke-n",7241,7.17477,8.486
"oil-n","nouns modified by ""%w""","price-n",7234,7.16783,9.805
"Jose-n","nouns modified by ""%w""","Mourinho-n",7226,7.15990,12.983
"Prince-n","nouns modified by ""%w""","Charles-n",7203,7.13712,12.039
"vaccine-n","nouns modified by ""%w""","rollout-n",7178,7.11234,11.775
"Foreign-n","nouns modified by ""%w""","Office-n",7172,7.10640,11.335
"young-j","nouns modified by ""%w""","girl-n",7168,7.10244,9.226
"royal-j","nouns modified by ""%w""","family-n",7152,7.08658,10.500
"red-j","nouns modified by ""%w""","card-n",7142,7.07667,10.435
"small-j","nouns modified by ""%w""","number-n",7135,7.06974,9.080
"real-j","nouns modified by ""%w""","life-n",7132,7.06676,9.277
"insurance-n","nouns modified by ""%w""","company-n",7128,7.06280,9.146
"West-n","nouns modified by ""%w""","Brom-n",7127,7.06181,10.706
"Nick-n","nouns modified by ""%w""","Clegg-n",7122,7.05686,12.075
"large-j","nouns modified by ""%w""","company-n",7097,7.03208,8.560
"Royal-n","nouns modified by ""%w""","Mail-n",7091,7.02614,10.596
"such-j","nouns modified by ""%w""","thing-n",7086,7.02119,8.845
"Tottenham-n","nouns modified by ""%w""","hotspur-n",7084,7.01920,13.049
"role-n","nouns modified by ""%w""","model-n",7081,7.01623,11.328
"Delta-n","nouns modified by ""%w""","variant-n",7076,7.01128,12.039
"power-n","nouns modified by ""%w""","station-n",7062,6.99740,9.944
"early-j","nouns modified by ""%w""","hour-n",7057,6.99245,9.592
"Thursday-n","nouns modified by ""%w""","night-n",7024,6.95975,9.490
"building-n","nouns modified by ""%w""","society-n",7001,6.93696,11.350
"right-j","nouns modified by ""%w""","time-n",6977,6.91318,8.362
"next-j","nouns modified by ""%w""","door-n",6975,6.91120,9.014
"serious-j","nouns modified by ""%w""","injury-n",6965,6.90129,10.332
"presidential-j","nouns modified by ""%w""","election-n",6963,6.89931,10.750
"general-j","nouns modified by ""%w""","manager-n",6961,6.89733,9.614
"second-j","nouns modified by ""%w""","war-n",6957,6.89337,9.124
"new-j","nouns modified by ""%w""","job-n",6954,6.89039,7.615
"High-n","nouns modified by ""%w""","School-n",6946,6.88247,10.559
"league-n","nouns modified by ""%w""","game-n",6933,6.86958,9.687
"good-j","nouns modified by ""%w""","day-n",6933,6.86958,7.673
"British-n","nouns modified by ""%w""","Airways-n",6933,6.86958,11.277
"common-j","nouns modified by ""%w""","sense-n",6932,6.86859,10.955
"private-j","nouns modified by ""%w""","school-n",6919,6.85571,9.277
"National-n","nouns modified by ""%w""","Statistics-n",6885,6.82202,10.288
"central-j","nouns modified by ""%w""","government-n",6885,6.82202,9.321
"Tamil-j","nouns modified by ""%w""","Nadu-n",6880,6.81707,13.262
"large-j","nouns modified by ""%w""","part-n",6862,6.79923,9.146
"police-n","nouns modified by ""%w""","official-n",6855,6.79230,8.955
"transfer-n","nouns modified by ""%w""","window-n",6839,6.77644,11.621
"last-j","nouns modified by ""%w""","October-n",6822,6.75960,7.703
"sexual-j","nouns modified by ""%w""","assault-n",6811,6.74870,11.306
"annual-j","nouns modified by ""%w""","meeting-n",6797,6.73483,10.039
"Co.-n","nouns modified by ""%w""","Uk-n",6784,6.72195,13.833
"city-n","nouns modified by ""%w""","centre-n",6781,6.71898,10.054
"oil-n","nouns modified by ""%w""","company-n",6774,6.71204,8.984
"Ed-n","nouns modified by ""%w""","Miliband-n",6771,6.70907,12.412
"hotel-n","nouns modified by ""%w""","room-n",6765,6.70312,10.464
"trade-n","nouns modified by ""%w""","union-n",6752,6.69024,11.086
"yesterday-n","nouns modified by ""%w""","morning-n",6745,6.68330,11.064
"huge-j","nouns modified by ""%w""","amount-n",6743,6.68132,10.068
"text-n","nouns modified by ""%w""","message-n",6729,6.66745,11.687
"investment-n","nouns modified by ""%w""","bank-n",6723,6.66151,10.413
"percentage-n","nouns modified by ""%w""","point-n",6717,6.65556,10.662
"director-n","nouns modified by ""%w""","general-n",6711,6.64962,11.057
"world-n","nouns modified by ""%w""","record-n",6695,6.63376,9.827
"vaccination-n","nouns modified by ""%w""","programme-n",6684,6.62286,10.083
"North-n","nouns modified by ""%w""","America-n",6684,6.62286,10.801
"former-j","nouns modified by ""%w""","executive-n",6671,6.60998,8.618
"staff-n","nouns modified by ""%w""","member-n",6664,6.60305,9.819
"AstraZeneca-n","nouns modified by ""%w""","vaccine-n",6658,6.59710,11.650
"last-j","nouns modified by ""%w""","Friday-n",6641,6.58026,7.659
"New-n","nouns modified by ""%w""","Jersey-n",6631,6.57035,9.395
"good-j","nouns modified by ""%w""","performance-n",6630,6.56936,7.930
"coronavirus-n","nouns modified by ""%w""","pandemic-n",6623,6.56242,11.724
"third-j","nouns modified by ""%w""","quarter-n",6604,6.54359,10.127
"Bayern-n","nouns modified by ""%w""","Munich-n",6602,6.54161,13.591
"high-j","nouns modified by ""%w""","risk-n",6601,6.54062,8.955
"Olympic-n","nouns modified by ""%w""","Games-n",6598,6.53765,12.046
"cent-n","nouns modified by ""%w""","increase-n",6596,6.53567,10.413
"heavy-j","nouns modified by ""%w""","rain-n",6591,6.53071,11.387
"Financial-n","nouns modified by ""%w""","Authority-n",6589,6.52873,11.233
"last-j","nouns modified by ""%w""","September-n",6578,6.51783,7.644
"more-j","nouns modified by ""%w""","detail-n",6576,6.51585,8.582
"good-j","nouns modified by ""%w""","value-n",6561,6.50099,7.952
"global-j","nouns modified by ""%w""","warming-n",6548,6.48811,10.801
"West-n","nouns modified by ""%w""","Street-n",6542,6.48216,9.629
"health-n","nouns modified by ""%w""","care-n",6524,6.46433,9.805
"BBC-n","nouns modified by ""%w""","Radio-n",6507,6.44748,11.306
"big-j","nouns modified by ""%w""","name-n",6465,6.40587,8.611
"cent-n","nouns modified by ""%w""","stake-n",6462,6.40289,10.881
"health-n","nouns modified by ""%w""","problem-n",6460,6.40091,9.351
"finance-n","nouns modified by ""%w""","minister-n",6443,6.38407,9.490
"total-j","nouns modified by ""%w""","number-n",6440,6.38109,9.644
"law-n","nouns modified by ""%w""","firm-n",6439,6.38010,10.273
"ice-n","nouns modified by ""%w""","cream-n",6430,6.37119,12.148
"public-j","nouns modified by ""%w""","spending-n",6422,6.36326,9.233
"right-n","nouns modified by ""%w""","issue-n",6417,6.35830,9.995
"new-j","nouns modified by ""%w""","way-n",6416,6.35731,7.351
"worth-j","nouns modified by ""%w""","R-n",6404,6.34542,11.790
"West-n","nouns modified by ""%w""","Indies-n",6396,6.33750,10.574
"track-n","nouns modified by ""%w""","record-n",6387,6.32858,10.676
"last-j","nouns modified by ""%w""","minute-n",6383,6.32462,7.556
"big-j","nouns modified by ""%w""","problem-n",6372,6.31372,8.413
"average-j","nouns modified by ""%w""","price-n",6372,6.31372,9.614
"Las-n","nouns modified by ""%w""","Vegas-n",6371,6.31273,13.540
"many-j","nouns modified by ""%w""","case-n",6367,6.30876,8.157
"central-j","nouns modified by ""%w""","London-n",6363,6.30480,9.856
"minimum-j","nouns modified by ""%w""","wage-n",6351,6.29291,12.046
"Czech-n","nouns modified by ""%w""","Republic-n",6349,6.29093,12.910
"own-j","nouns modified by ""%w""","way-n",6330,6.27210,8.384
"much-j","nouns modified by ""%w""","money-n",6325,6.26715,9.937
"private-j","nouns modified by ""%w""","life-n",6324,6.26616,9.094
"new-j","nouns modified by ""%w""","technology-n",6314,6.25625,7.556
"first-j","nouns modified by ""%w""","minister-n",6313,6.25526,7.534
"foreign-j","nouns modified by ""%w""","policy-n",6286,6.22850,9.592
"Nicola-n","nouns modified by ""%w""","Sturgeon-n",6269,6.21166,12.874
"Obama-n","nouns modified by ""%w""","administration-n",6266,6.20869,11.724
"All-n","nouns modified by ""%w""","Blacks-n",6253,6.19580,13.064
"late-j","nouns modified by ""%w""","figure-n",6248,6.19085,8.882
"next-j","nouns modified by ""%w""","step-n",6243,6.18590,8.794
"second-j","nouns modified by ""%w""","dose-n",6240,6.18292,9.131
"high-j","nouns modified by ""%w""","cost-n",6236,6.17896,8.706
"opposition-n","nouns modified by ""%w""","party-n",6235,6.17797,9.900
"English-j","nouns modified by ""%w""","football-n",6234,6.17698,10.522
"England-n","nouns modified by ""%w""","player-n",6230,6.17302,8.926
"Harry-n","nouns modified by ""%w""","Kane-n",6230,6.17302,12.017
"yellow-j","nouns modified by ""%w""","card-n",6221,6.16410,10.808
"new-j","nouns modified by ""%w""","life-n",6218,6.16112,7.366
"announce-v","pronominal subjects of ""%w""","he-d",6216,6.15914,5.168
"supply-n","nouns modified by ""%w""","chain-n",6210,6.15320,11.372
"terrorist-j","nouns modified by ""%w""","attack-n",6206,6.14923,10.596
"social-j","nouns modified by ""%w""","distancing-n",6191,6.13437,9.944
"second-j","nouns modified by ""%w""","day-n",6190,6.13338,8.296
"local-j","nouns modified by ""%w""","community-n",6182,6.12545,9.189
"little-j","nouns modified by ""%w""","girl-n",6179,6.12248,9.365
"European-n","nouns modified by ""%w""","Commission-n",6176,6.11951,10.647
"many-j","nouns modified by ""%w""","woman-n",6159,6.10266,8.215
"short-j","nouns modified by ""%w""","term-n",6156,6.09969,10.054
"long-j","nouns modified by ""%w""","run-n",6149,6.09276,9.453
"golf-n","nouns modified by ""%w""","course-n",6131,6.07492,10.903
"social-j","nouns modified by ""%w""","care-n",6124,6.06798,9.570
"yesterday-n","verbs with ""%w"" as object","announce-v",6121,6.06501,9.468
"announce-v","objects of ""%w""","yesterday-n",6121,6.06501,9.468
"pregnant-j","nouns modified by ""%w""","woman-n",6119,6.06303,10.076
"Matt-n","nouns modified by ""%w""","Hancock-n",6102,6.04619,12.024
"Cup-n","nouns modified by ""%w""","final-n",6100,6.04420,10.728
"small-j","nouns modified by ""%w""","company-n",6093,6.03727,8.340
"National-n","nouns modified by ""%w""","Association-n",6087,6.03132,9.497
"news-n","nouns modified by ""%w""","conference-n",6082,6.02637,10.457
"small-j","nouns modified by ""%w""","town-n",6073,6.01745,9.299
"first-j","nouns modified by ""%w""","match-n",6073,6.01745,7.681
"Gold-n","nouns modified by ""%w""","Cup-n",6072,6.01646,10.090
"midfield-n","nouns modified by ""%w""","player-n",6062,6.00655,9.373
"former-j","nouns modified by ""%w""","player-n",6052,5.99664,8.281
"several-j","nouns modified by ""%w""","month-n",6045,5.98971,8.691
"last-j","nouns modified by ""%w""","thing-n",6045,5.98971,7.219
"knee-n","nouns modified by ""%w""","injury-n",6041,5.98574,11.072
"first-j","nouns modified by ""%w""","appearance-n",6030,5.97484,7.769
"power-n","nouns modified by ""%w""","plant-n",6023,5.96791,10.435
"health-n","nouns modified by ""%w""","secretary-n",6004,5.94908,9.329
"League-n","nouns modified by ""%w""","game-n",5981,5.92629,9.211
"former-j","nouns modified by ""%w""","secretary-n",5979,5.92431,8.669
"public-j","nouns modified by ""%w""","interest-n",5978,5.92332,8.977
"finance-n","nouns modified by ""%w""","director-n",5975,5.92035,9.739
"third-j","nouns modified by ""%w""","time-n",5958,5.90350,8.098
"Central-n","nouns modified by ""%w""","Bank-n",5948,5.89359,10.603
"first-j","nouns modified by ""%w""","season-n",5947,5.89260,7.542
"Steven-n","nouns modified by ""%w""","Gerrard-n",5942,5.88765,12.507
"late-j","nouns modified by ""%w""","year-n",5927,5.87279,7.373
"new-j","nouns modified by ""%w""","government-n",5917,5.86288,7.219
"district-n","nouns modified by ""%w""","administration-n",5913,5.85891,11.101
"hedge-j","nouns modified by ""%w""","fund-n",5895,5.84108,10.618
"other-j","nouns modified by ""%w""","group-n",5891,5.83712,7.432
"state-n","nouns modified by ""%w""","pension-n",5886,5.83216,9.973
"pension-n","nouns modified by ""%w""","scheme-n",5878,5.82423,9.973
"John-n","nouns modified by ""%w""","Lewis-n",5865,5.81135,9.622
"last-j","nouns modified by ""%w""","decade-n",5840,5.78658,7.461
"home-n","nouns modified by ""%w""","side-n",5835,5.78163,9.343
"David-n","nouns modified by ""%w""","Beckham-n",5828,5.77469,9.819
"nuclear-j","nouns modified by ""%w""","weapon-n",5824,5.77073,11.108
"Andy-n","nouns modified by ""%w""","Murray-n",5823,5.76974,11.445
"select-j","nouns modified by ""%w""","committee-n",5820,5.76677,10.676
"local-j","nouns modified by ""%w""","people-n",5810,5.75686,8.098
"former-j","nouns modified by ""%w""","head-n",5801,5.74794,8.816
"west-j","nouns modified by ""%w""","London-n",5801,5.74794,10.303
"UK-n","nouns modified by ""%w""","government-n",5785,5.73209,8.838
"east-j","nouns modified by ""%w""","London-n",5785,5.73209,10.303
"first-j","nouns modified by ""%w""","lockdown-n",5781,5.72812,7.732
"President-n","nouns modified by ""%w""","Jonathan-n",5775,5.72218,11.013
"penalty-n","nouns modified by ""%w""","area-n",5771,5.71821,9.475
"Mr-n","nouns modified by ""%w""","Smith-n",5770,5.71722,8.040
"announce-v","pronominal objects of ""%w""","it-d",5768,5.71524,6.633
"family-n","nouns modified by ""%w""","life-n",5766,5.71326,9.182
"small-j","nouns modified by ""%w""","group-n",5754,5.70137,8.398
"Royal-n","nouns modified by ""%w""","Family-n",5746,5.69344,10.383
"shadow-n","nouns modified by ""%w""","secretary-n",5745,5.69245,10.288
"British-j","nouns modified by ""%w""","company-n",5742,5.68948,8.120
"New-n","nouns modified by ""%w""","Orleans-n",5731,5.67858,9.197
"first-j","nouns modified by ""%w""","team-n",5724,5.67164,7.336
"announce-v","in passive","announce-v",5721,5.66867,13.994
"next-j","nouns modified by ""%w""","generation-n",5716,5.66372,8.728
"good-j","nouns modified by ""%w""","luck-n",5711,5.65876,7.871
"many-j","nouns modified by ""%w""","country-n",5695,5.64291,8.135
"good-j","nouns modified by ""%w""","result-n",5681,5.62904,7.732
"health-n","nouns modified by ""%w""","official-n",5671,5.61913,8.787
"Sheffield-n","nouns modified by ""%w""","United-n",5667,5.61516,10.742
"Football-n","nouns modified by ""%w""","Association-n",5659,5.60724,10.464
"sexual-j","nouns modified by ""%w""","harassment-n",5651,5.59931,11.262
"home-n","nouns modified by ""%w""","game-n",5634,5.58247,8.926
"training-n","nouns modified by ""%w""","session-n",5625,5.57355,10.706
"big-j","nouns modified by ""%w""","thing-n",5624,5.57256,7.974
"financial-j","nouns modified by ""%w""","institution-n",5623,5.57157,9.636
"pay-n","nouns modified by ""%w""","rise-n",5611,5.55968,10.735
"international-j","nouns modified by ""%w""","community-n",5611,5.55968,9.490
"difficult-j","nouns modified by ""%w""","time-n",5591,5.53986,8.201
"South-n","nouns modified by ""%w""","America-n",5589,5.53788,9.929
"justice-n","nouns modified by ""%w""","system-n",5588,5.53689,9.270
"big-j","nouns modified by ""%w""","game-n",5586,5.53491,8.047
"Andhra-n","nouns modified by ""%w""","Pradesh-n",5580,5.52896,12.559
"Keir-n","nouns modified by ""%w""","Starmer-n",5571,5.52004,13.298
"Royal-n","nouns modified by ""%w""","Society-n",5565,5.51410,9.937
"first-time-j","nouns modified by ""%w""","buyer-n",5561,5.51013,12.039
"phone-n","nouns modified by ""%w""","number-n",5545,5.49428,9.585
"health-n","nouns modified by ""%w""","minister-n",5539,5.48834,8.706
"Gareth-n","nouns modified by ""%w""","Southgate-n",5529,5.47843,12.632
"Covid-n","nouns modified by ""%w""","case-n",5527,5.47645,9.219
"right-j","nouns modified by ""%w""","direction-n",5519,5.46852,10.273
"England-n","nouns modified by ""%w""","captain-n",5518,5.46753,10.039
"Ryder-n","nouns modified by ""%w""","Cup-n",5515,5.46456,9.988
"old-j","nouns modified by ""%w""","friend-n",5515,5.46456,9.058
"third-j","nouns modified by ""%w""","round-n",5509,5.45861,9.673
"Sky-n","nouns modified by ""%w""","News-n",5502,5.45167,11.299
"non-executive-j","nouns modified by ""%w""","director-n",5501,5.45068,9.783
"most-j","nouns modified by ""%w""","part-n",5499,5.44870,9.175
"state-n","nouns modified by ""%w""","school-n",5485,5.43483,9.028
"free-j","nouns modified by ""%w""","kick-n",5478,5.42789,10.383
"world-n","nouns modified by ""%w""","title-n",5477,5.42690,9.673
"Morgan-n","nouns modified by ""%w""","Stanley-n",5464,5.41402,12.705
"face-n","nouns modified by ""%w""","mask-n",5461,5.41105,12.119
"de-n","nouns modified by ""%w""","France-n",5446,5.39619,10.530
"Labour-n","nouns modified by ""%w""","party-n",5446,5.39619,9.365
"tax-n","nouns modified by ""%w""","rate-n",5437,5.38727,8.831
"Michael-n","nouns modified by ""%w""","Howard-n",5424,5.37439,10.237
"Frank-n","nouns modified by ""%w""","Lampard-n",5420,5.37042,12.302
"Covid-n","nouns modified by ""%w""","restriction-n",5409,5.35952,10.427
"low-j","nouns modified by ""%w""","price-n",5408,5.35853,8.970
"recent-j","nouns modified by ""%w""","day-n",5407,5.35754,8.391
"national-j","nouns modified by ""%w""","security-n",5400,5.35061,9.592
"Cristiano-n","nouns modified by ""%w""","Ronaldo-n",5399,5.34962,13.577
"public-j","nouns modified by ""%w""","health-n",5396,5.34664,8.962
"Cape-n","nouns modified by ""%w""","Town-n",5394,5.34466,12.375
"front-j","nouns modified by ""%w""","door-n",5392,5.34268,11.050
"world-n","nouns modified by ""%w""","leader-n",5387,5.33773,8.962
"water-n","nouns modified by ""%w""","supply-n",5379,5.32980,10.508
"George-n","nouns modified by ""%w""","Bush-n",5376,5.32683,10.859
"other-j","nouns modified by ""%w""","woman-n",5370,5.32088,7.498
"big-j","nouns modified by ""%w""","deal-n",5370,5.32088,8.149
"last-j","nouns modified by ""%w""","December-n",5367,5.31791,7.358
"second-j","nouns modified by ""%w""","goal-n",5366,5.31692,8.677
"government-n","verbs with ""%w"" as subject","announce-v",5364,5.31494,8.582
"announce-v","subjects of ""%w""","government-n",5364,5.31494,8.582
"market-n","nouns modified by ""%w""","value-n",5350,5.30106,9.951
"test-n","nouns modified by ""%w""","match-n",5348,5.29908,10.039
"Scott-n","nouns modified by ""%w""","Morrison-n",5344,5.29512,11.760
"local-j","nouns modified by ""%w""","council-n",5342,5.29314,9.094
"immune-j","nouns modified by ""%w""","system-n",5339,5.29016,9.255
"asylum-n","nouns modified by ""%w""","seeker-n",5328,5.27927,13.225
"service-n","nouns modified by ""%w""","provider-n",5327,5.27827,10.603
"last-j","nouns modified by ""%w""","Saturday-n",5323,5.27431,7.336
"second-j","nouns modified by ""%w""","leg-n",5319,5.27035,8.911
"Newcastle-n","nouns modified by ""%w""","United-n",5315,5.26638,10.618
"Monday-n","nouns modified by ""%w""","morning-n",5315,5.26638,10.669
"final-j","nouns modified by ""%w""","decision-n",5315,5.26638,9.424
"key-j","nouns modified by ""%w""","role-n",5307,5.25846,9.731
"same-j","nouns modified by ""%w""","year-n",5304,5.25549,7.153
"Rishi-n","nouns modified by ""%w""","Sunak-n",5292,5.24359,13.342
"last-j","nouns modified by ""%w""","Sunday-n",5287,5.23864,7.322
"football-n","nouns modified by ""%w""","team-n",5283,5.23468,8.867
"carbon-n","nouns modified by ""%w""","emission-n",5281,5.23270,12.024
"British-j","nouns modified by ""%w""","people-n",5280,5.23170,7.871
"great-j","nouns modified by ""%w""","player-n",5273,5.22477,7.996
"third-j","nouns modified by ""%w""","place-n",5263,5.21486,9.124
"National-n","nouns modified by ""%w""","Institute-n",5260,5.21189,9.534
"new-j","nouns modified by ""%w""","album-n",5240,5.19207,7.300
"National-n","nouns modified by ""%w""","Assembly-n",5233,5.18513,9.863
"good-j","nouns modified by ""%w""","part-n",5224,5.17622,7.512
"next-j","nouns modified by ""%w""","morning-n",5220,5.17225,8.523
"annual-j","nouns modified by ""%w""","report-n",5217,5.16928,9.321
"shopping-n","nouns modified by ""%w""","centre-n",5215,5.16730,10.024
"chief-j","nouns modified by ""%w""","economist-n",5211,5.16334,9.307
"clean-j","nouns modified by ""%w""","sheet-n",5210,5.16234,11.548
"second-j","nouns modified by ""%w""","year-n",5203,5.15541,7.139
"crown-n","nouns modified by ""%w""","court-n",5198,5.15045,10.339
"Democratic-n","nouns modified by ""%w""","Party-n",5196,5.14847,11.028
"Uttar-n","nouns modified by ""%w""","Pradesh-n",5194,5.14649,12.529
"summer-n","nouns modified by ""%w""","holiday-n",5184,5.13658,10.508
"dining-n","nouns modified by ""%w""","room-n",5178,5.13064,10.325
"Opera-n","nouns modified by ""%w""","House-n",5167,5.11974,10.662
"Prince-n","nouns modified by ""%w""","Philip-n",5163,5.11577,11.731
"financial-j","nouns modified by ""%w""","market-n",5159,5.11181,8.633
"Mr-n","nouns modified by ""%w""","Clinton-n",5158,5.11082,8.025
"other-j","nouns modified by ""%w""","city-n",5152,5.10488,7.556
"social-j","nouns modified by ""%w""","service-n",5152,5.10488,8.486
"big-j","nouns modified by ""%w""","challenge-n",5151,5.10388,8.318
